Size,Average Time
101,0.15912291403950768
103,0.1836005420197337
105,0.19355245783155245
107,0.20116682069329717
109,0.21670124886127673
111,0.22252882059392234
113,0.23959374568315042
115,0.2489598214550743
117,0.24720201578214857
119,0.27526912797042996
121,0.270563561742417
123,0.29009175991068514
125,0.2971855175346358
127,0.3676507330691502
129,0.3501205976930632
131,0.359836633871442
133,0.3525197075049988
135,0.4452866823662454
137,0.4147826159209181
139,0.40519557751492297
141,0.46147488627731476
143,0.503677695247389
145,0.525728914752504
147,0.5792304200790163
149,0.6037342838122046
151,0.5594202317128887
153,0.5703621481290683
155,0.6808252553366203
157,0.5602098884754212
159,0.6843301529601971
161,0.6427571161285675
163,0.787727824613924
165,0.7219629569205636
167,0.815415445178353
169,0.8206391106733544
171,0.8068809842969329
173,0.9820233530892329
175,1.0291920653663231
177,0.9384730601877981
179,0.9604468411383968
181,1.0381828939208562
183,1.0331181422971165
185,1.0624218845643716
187,1.2321383398414014
189,1.2498899218413444
191,1.419711704514562
193,1.3937904974155022
195,1.5356166920397245
197,1.5770908953961071
199,1.502183524534708
201,1.6252250673463609
203,1.586916629049276
205,1.6590987745744
207,1.7310356865049525
209,1.8623624663564218
211,1.5973938134949714
213,2.0715140348513863
215,2.0056817801584956
217,1.8769924199010293
219,2.3464515477426895
221,2.328607136257188

